hhid,sexe_chef_bin,age_chef,educ_hi_chef,annees_scol_chef,niveau_instruction_chef,diplome_chef,activite_chef,branch_chef,csp_chef,departement,departement_nom,milieu,milieu_urbain,hhweight,dep_totale_annuelle,dep_educ,educ_hi_mere,niveau_instruction_mere,taille_menage,choc_economique,choc_naturel,choc_quelconque,tv,frigo,cuisin,ordin,decod,car,score_actifs,acces_electricite,logem,toilet,eauboi_ss,dep_percapita,log_dep_totale,log_dep_percapita,chef_instruit,chef_superieur,ethnie_chef_code,religion_chef_code,mstat_chef_code,agemar_chef,nation_chef_code,internet_chef,telpor_chef,bank_chef,handit_chef,handig_chef,moustiq_chef,couvmal_chef,alfa_chef,annee_naissance_chef,religion_chef_lbl,mstat_chef_lbl,mur_ameliore,toit_ameliore,sol_ameliore,eauboi_sp_ameliore,elec_urbain,elec_autre,ordure_amelioree,eval_toilettes,eval_eau,actif_fer,superficie_terre_ha,nb_gros_ruminants,nb_petits_ruminants,nb_porcins,nb_lapins,nb_volailles,choc_idiosyncr_demo,choc_collectif_naturel,choc_collectif_eco,choc_idiosyncr_eco,choc_collectif_violence,choc_collectif_autre
1107,1,34,7,13,4_Secondaire2,5,Emploi,1.0,9.0,1,Alibori,1,1,215.949343772608,1213836.91809082,15000.0,,,4,0,0,0,0,0,0,0,0,0,0,1,3,0,0,303459.229522705,14.0092969072211,12.6230025461012,1,0,18.0,1,7,26.0,1,0,1,0,0,0,1,0,1,16,1_Catholique,7_Autre,1,1,0,0,0,1,0,0,0,0,8.20447981357574,3,17,0,0,26,0,0,0,0,0,0
2008,1,55,1,0,1_Aucun,0,Emploi,5.0,9.0,1,Alibori,1,1,471.467486318315,1672029.11657715,31000.0,1.0,1_Aucun,11,1,0,1,1,0,0,0,1,0,2,1,2,0,0,152002.646961559,14.3295484866959,11.9316532138976,0,0,18.0,1,2,17.0,1,0,1,1,0,0,1,0,0,22,1_Catholique,2_Marie monogame,1,1,1,0,1,0,1,1,0,0,1.66599833965302,0,0,0,0,0,0,0,1,0,0,0
2018,1,36,1,0,1_Aucun,0,Emploi,6.0,9.0,1,Alibori,1,1,471.467486318315,1270836.10802351,12000.0,1.0,1_Aucun,6,0,0,1,0,0,0,0,0,0,0,0,3,0,0,211806.018003918,14.0551855945901,12.263426125362,0,0,,1,2,18.0,2,1,1,1,0,0,1,0,0,22,1_Catholique,2_Marie monogame,1,1,1,0,0,0,1,0,0,0,,0,6,0,0,0,1,0,0,0,0,0
2028,1,54,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,1,1,471.467486318315,1407717.96121652,14000.0,1.0,1_Aucun,10,0,1,1,0,0,0,0,0,0,0,0,2,0,0,140771.796121652,14.1574804839991,11.854895391005,0,0,18.0,2,2,16.0,1,0,1,0,1,1,1,0,0,22,2_Musulman,2_Marie monogame,1,1,1,0,0,0,1,0,0,0,1.48555290699005,2,0,0,20,0,0,1,0,0,0,0
2038,1,32,1,0,1_Aucun,0,Emploi,4.0,9.0,1,Alibori,1,1,471.467486318315,1677864.91640799,0.0,1.0,1_Aucun,4,1,0,1,0,0,0,0,0,0,0,0,3,0,1,419466.229101998,14.3330326600322,12.9467382989123,0,0,,1,2,17.0,11,1,1,0,0,0,1,0,0,23,1_Catholique,2_Marie monogame,1,1,1,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,0
2049,1,38,1,0,1_Aucun,0,Emploi,10.0,9.0,1,Alibori,1,1,471.467486318315,842970.981009347,0.0,,,1,1,1,1,0,0,0,0,0,0,0,0,3,0,0,842970.981009347,13.644687812915,13.644687812915,0,0,22.0,1,1,,1,1,1,0,0,0,1,0,1,22,1_Catholique,1_Celibataire,1,1,1,0,0,0,1,0,0,0,,0,0,0,0,0,0,1,1,0,0,0
2059,1,36,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,1,1,471.467486318315,644396.982779367,0.0,,,1,1,1,1,0,0,0,0,0,0,0,0,3,0,0,644396.982779367,13.376070248057,13.376070248057,0,0,22.0,1,6,19.0,1,0,1,0,1,0,1,0,1,22,1_Catholique,6_Divorce/Separe,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,4,1,1,1,0,0,0
2069,0,37,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,1,1,471.467486318315,2823523.18701172,0.0,1.0,1_Aucun,5,1,1,1,0,0,0,0,0,0,0,1,1,0,0,564704.637402344,14.8534960202135,13.2440581077794,0,0,18.0,1,5,19.0,1,0,1,0,0,0,1,0,1,22,1_Catholique,5_Veuf/Veuve,0,1,0,0,0,1,0,0,0,0,4.19466471672058,0,8,0,0,30,0,1,1,0,0,0
2079,1,38,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,1,1,471.467486318315,2002334.42411586,7700.0,1.0,1_Aucun,7,1,1,1,0,0,0,0,0,0,0,1,2,0,0,286047.774873695,14.5098242699198,12.5639141208644,0,0,18.0,1,2,26.0,1,0,1,0,0,0,1,0,1,23,1_Catholique,2_Marie monogame,0,1,0,0,0,1,0,0,0,0,4.67790389060974,2,0,0,0,0,0,1,1,0,0,0
2090,1,58,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,1,1,471.467486318315,4839090.21144322,26000.0,1.0,1_Aucun,10,1,1,1,0,0,0,0,0,0,0,1,2,0,0,483909.021144322,15.3922372881814,13.0896521951874,0,0,18.0,2,3,23.0,1,0,0,0,0,0,1,0,0,22,2_Musulman,3_Marie polygame,1,1,1,0,0,1,0,0,0,0,5.94760704040527,4,8,0,0,25,0,1,1,0,0,0
